time,double_support,RT_single_support,LT_single_support,Pelvis_A_X,Pelvis_A_Y,Pelvis_A_Z,Lower spine_A_X,Lower spine_A_Y,Lower spine_A_Z,Upper spine_A_X,Upper spine_A_Y,Upper spine_A_Z
0.0,1,0,0,9.758765966796876,-0.08798691101319384,0.893635769641062,9.797073193359376,0.054767362977300046,-0.110881464431955,9.165003955078125,0.12389993587631101,3.4644098024912604
0.005,1,0,0,9.773131177248146,-0.0989104560821405,0.8834604126466895,9.78270798388877,0.059967269708718046,-0.1500865165741095,9.160215552248145,0.1246481239410785,3.4548329958506354
0.01,1,0,0,9.74918916015625,-0.09270049552702961,0.8852560638059985,9.792284790529395,0.06842179432083835,-0.146869308042709,9.165003955078125,0.1051952354339215,3.459621398680615
0.015,1,0,0,9.758765966796876,-0.1019032081450775,0.8930372192873145,9.797073193359376,0.07594108390593585,-0.135422031387265,9.160215552248145,0.10878653794867249,3.46680400390625
0.02,1,0,0,9.753977563966895,-0.101753570532124,0.9074024292482521,9.81622681154395,0.0802057556201377,-0.153827456701814,9.145850341796875,0.1377414142409445,3.4739866091318854
0.025,1,0,0,9.74918916015625,-0.06333411579423215,0.9020154754761255,9.82580361328125,0.086191259765625,-0.155473470346236,9.174580761718751,0.135496850242775,3.4644098024912604
0.03,1,0,0,9.773131177248146,-0.09696516724123146,0.900818374670564,9.80665,0.06759878749862736,-0.1306336280669525,9.145850341796875,0.11821370697634401,3.4548329958506354
0.035,1,0,0,9.76355437060752,-0.08910919304169855,0.8954314208984375,9.80665,0.08304887008973451,-0.1459714824630545,9.16979235888877,0.1246481239410785,3.4548329958506354
0.04,1,0,0,9.76355437060752,-0.09232640152406581,0.9211690887573755,9.80665,0.08132803763883575,-0.142604636416767,9.174580761718751,0.1177647941374835,3.4620156010762697
0.045,1,0,0,9.76355437060752,-0.10392331577285001,0.915782134985249,9.81622681154395,0.06471826363069551,-0.1336263801298895,9.179369165529396,0.11110592080235202,3.4428619877950197
0.05,1,0,0,9.7683427734375,-0.0944213279681217,0.909796630859375,9.80665,0.08589198455933131,-0.148515321687131,9.179369165529396,0.11948562663741549,3.45004459203999
0.055,1,0,0,9.78270798388877,-0.0729483318331922,0.9337386474609375,9.81622681154395,0.06273556537183811,-0.16415245130914,9.16979235888877,0.1348234810335175,3.459621398680615
0.06,1,0,0,9.753977563966895,-0.10018237574321201,0.9115922821167505,9.835380424825201,0.05446808777100635,-0.1479167713333835,9.174580761718751,0.13669395104833648,3.459621398680615
0.065,1,0,0,9.777919580078125,-0.08746317939727656,0.9343371979127515,9.82580361328125,0.05738602103727325,-0.1418564483519995,9.165003955078125,0.1366191321928265,3.4620156010762697
0.07,1,0,0,9.777919580078125,-0.0960673416125437,0.925358941625874,9.81622681154395,0.042609307675036893,-0.12494739916698551,9.16979235888877,0.127191963165155,3.457227197265625
0.075,1,0,0,9.74918916015625,-0.094122052761828,0.919971987951814,9.81622681154395,0.051437926290121,-0.125097036779939,9.193734375,0.1149964984449435,3.4739866091318854
0.08,1,0,0,9.758765966796876,-0.08177695045808295,0.910395181311189,9.81622681154395,0.06198737735610385,-0.12689268803731452,9.179369165529396,0.105644148272782,3.46680400390625
0.085,1,0,0,9.773131177248146,-0.07653963431852324,0.9247603912721265,9.82580361328125,0.0476595767935014,-0.128389064068783,9.179369165529396,0.10182838938763401,3.46919820532124
0.09,1,0,0,9.777919580078125,-0.109160631932023,0.9487024078736891,9.82580361328125,0.052971711729731204,-0.12704232555220152,9.184157568359375,0.0906803878796438,3.4739866091318854
0.095,1,0,0,9.758765966796876,-0.109759182383837,0.954687911999563,9.82580361328125,0.05386953735841895,-0.11813888812083399,9.174580761718751,0.09150339470185481,3.46680400390625
0.1,1,0,0,9.777919580078125,-0.106392336239483,0.9445125549071239,9.82580361328125,0.050315644261616305,-0.1349731185484045,9.16979235888877,0.08918401183836866,3.4715924077168947
0.105,1,0,0,9.753977563966895,-0.10265139620984501,0.9307458953980006,9.80186159717002,0.04548983154296875,-0.119784901765256,9.16979235888877,0.1010802013228665,3.4859576171875
0.11,1,0,0,9.773131177248146,-0.08559270935303759,0.922964740014751,9.82580361328125,0.06890811652861395,-0.11566986775226751,9.145850341796875,0.11282675320421749,3.497928625243115
0.115,1,0,0,9.758765966796876,-0.08065466842957825,0.9313444458498146,9.81622681154395,0.0729483318331922,-0.123974754731821,9.150638745607521,0.11065700796349151,3.497928625243115
0.12,1,0,0,9.74918916015625,-0.0867149913815423,0.9205705383055615,9.80665,0.08357260169584516,-0.129660983631788,9.160215552248145,0.1062426986265295,3.495534423828125
0.125,1,0,0,9.76355437060752,-0.07646481552185315,0.9217676392091896,9.81622681154395,0.07451952667113745,-0.1019780270005875,9.160215552248145,0.1101332763671875,3.5098996342793947
0.13,1,0,0,9.753977563966895,-0.08297405128325774,0.910395181311189,9.792284790529395,0.05955576629761255,-0.09000701866057964,9.136273535156251,0.0960673416125437,3.50511123046875
0.135,1,0,0,9.74440075732627,-0.0775122787438811,0.912789382922312,9.792284790529395,0.06494272003051245,-0.11275193444677399,9.1554271484375,0.103175127806149,3.517082238524365
0.14,1,0,0,9.76355437060752,-0.0906803878796438,0.909796630859375,9.78749638671875,0.06303484058793846,-0.104821141450571,9.160215552248145,0.1197100830078125,3.5194764409200197
0.145,1,0,0,9.76355437060752,-0.07766191634702796,0.9014169250243115,9.80186159717002,0.059742813299094456,-0.10392331577285001,9.1554271484375,0.10758943714311099,3.5218706423350103
0.15,1,0,0,9.758765966796876,-0.07560439930130711,0.891241568029939,9.80186159717002,0.049380409244400146,-0.09861118085623351,9.150638745607521,0.1002571945006555,3.5098996342793947
0.155,1,0,0,9.758765966796876,-0.07298574123152725,0.906205328344624,9.78749638671875,0.0474725297920195,-0.11177929001160951,9.150638745607521,0.11566986775226751,3.517082238524365
0.16,1,0,0,9.74918916015625,-0.0756792180979772,0.9074024292482521,9.80186159717002,0.0335749373445934,-0.0918774887048186,9.141061938966896,0.12262801631330601,3.5218706423350103
0.165,1,0,0,9.758765966796876,-0.08626607857210175,0.9050082275390625,9.78749638671875,0.044666824720757746,-0.09689034843475469,9.145850341796875,0.09876081846918701,3.52426484375
0.17,1,0,0,9.753977563966895,-0.110282913980141,0.887051715063374,9.80186159717002,0.049604865644217094,-0.09030629386687336,9.136273535156251,0.09950900653395449,3.533841650390625
0.175,1,0,0,9.74440075732627,-0.1051952354339215,0.8924386688355005,9.792284790529395,0.057610477446896846,-0.07960720519774366,9.13148513232627,0.105344873046875,3.517082238524365
0.18,1,0,0,9.753977563966895,-0.0918774887048186,0.8768763580690015,9.78749638671875,0.06902034473342575,-0.09472060318422205,9.13148513232627,0.13220482295393102,3.514688037109375
0.185,1,0,0,9.76355437060752,-0.094945059584039,0.8822633117430615,9.777919580078125,0.0679728815113978,-0.113574941268985,9.102754712404396,0.126443775198454,3.53863005420127
0.19,1,0,0,9.773131177248146,-0.08252513847381719,0.8954314208984375,9.78270798388877,0.07074117717451785,-0.107514618287601,9.11233151904502,0.11552023013931399,3.5218706423350103
0.195,1,0,0,9.773131177248146,-0.10833762510981201,0.9217676392091896,9.777919580078125,0.0760907215090827,-0.0971896236410484,9.09796630859375,0.11761515652452999,3.52665904516499
0.2,1,0,0,9.777919580078125,-0.084545246121203,0.918774887048186,9.797073193359376,0.0764274061235181,-0.09599252281587359,9.107543115234375,0.12150573426518799,3.5314474489756353
0.205,1,0,0,9.78749638671875,-0.09726444244752515,0.909198080407561,9.773131177248146,0.09674071083160786,-0.094945059584039,9.09796630859375,0.1415571731260925,3.533841650390625
0.21,1,0,0,9.773131177248146,-0.08462006492767975,0.9050082275390625,9.78270798388877,0.0981622681154395,-0.1174655189115765,9.117119921875,0.111928927624563,3.5218706423350103
0.215,1,0,0,9.74918916015625,-0.08768763580690014,0.9247603912721265,9.78749638671875,0.0738461574520733,-0.09591770400939685,9.126696728515626,0.125545949520733,3.52665904516499
0.22,1,0,0,9.739612353515625,-0.0805050308264314,0.9217676392091896,9.78749638671875,0.0658405456592002,-0.07668927193147676,9.141061938966896,0.131007722050303,3.5098996342793947
0.225,1,0,0,9.739612353515625,-0.09105448189241426,0.928351693688811,9.777919580078125,0.059593175695947596,-0.09838672448583649,9.165003955078125,0.128837976809577,3.514688037109375
0.23,1,0,0,9.753977563966895,-0.08252513847381719,0.937928500329436,9.78270798388877,0.0717138215998757,-0.1016787517746805,9.141061938966896,0.13676876980577998,3.52665904516499
0.235,1,0,0,9.753977563966895,-0.103399584176546,0.9301473449461864,9.78749638671875,0.08245031966734044,-0.1002571945006555,9.150638745607521,0.1262193187299905,3.52665904516499
0.24,1,0,0,9.777919580078125,-0.10938508830242,0.9265560425295021,9.80186159717002,0.098985274839584,-0.11768997538004,9.13148513232627,0.140060797094624,3.52426484375
0.245,1,0,0,9.797073193359376,-0.104521866224664,0.909796630859375,9.797073193359376,0.11671733094487549,-0.1245733050855685,9.13148513232627,0.156820208764751,3.536235851805615
0.25,1,0,0,9.777919580078125,-0.096591073228461,0.9121908325685646,9.80665,0.13444938695210049,-0.123974754731821,9.1554271484375,0.170137955435014,3.54341845703125
