index,si-ax,si-ay,si-az
0,-0.04788403320312362,-0.08798691101319384,0.893635769641062
1,-0.033518822751855026,-0.0989104560821405,0.8834604126466895
2,-0.057460839843749056,-0.09270049552702961,0.8852560638059985
3,-0.04788403320312362,-0.1019032081450775,0.8930372192873145
4,-0.052672436033105896,-0.101753570532124,0.9074024292482521
5,-0.057460839843749056,-0.06333411579423215,0.9020154754761255
6,-0.033518822751855026,-0.09696516724123146,0.900818374670564
7,-0.04309562939248046,-0.08910919304169855,0.8954314208984375
8,-0.04309562939248046,-0.09232640152406581,0.9211690887573755
9,-0.04309562939248046,-0.10392331577285,0.915782134985249
10,-0.03830722656249996,-0.0944213279681217,0.909796630859375
11,-0.02394201611122959,-0.0729483318331922,0.9337386474609375
12,-0.052672436033105896,-0.10018237574321201,0.9115922821167505
13,-0.028730419921874528,-0.08746317939727656,0.9343371979127515
14,-0.028730419921874528,-0.0960673416125437,0.925358941625874
15,-0.057460839843749056,-0.094122052761828,0.919971987951814
16,-0.04788403320312362,-0.08177695045808295,0.910395181311189
17,-0.033518822751855026,-0.07653963431852324,0.9247603912721265
18,-0.028730419921874528,-0.109160631932023,0.9487024078736891
19,-0.04788403320312362,-0.109759182383837,0.954687911999563
20,-0.028730419921874528,-0.106392336239483,0.9445125549071239
21,-0.052672436033105896,-0.10265139620984501,0.9307458953980006
22,-0.033518822751855026,-0.08559270935303759,0.922964740014751
23,-0.04788403320312362,-0.08065466842957825,0.9313444458498146
24,-0.057460839843749056,-0.0867149913815423,0.9205705383055615
25,-0.04309562939248046,-0.07646481552185315,0.9217676392091896
26,-0.052672436033105896,-0.08297405128325774,0.910395181311189
27,-0.062249242673729555,-0.0775122787438811,0.912789382922312
28,-0.04309562939248046,-0.0906803878796438,0.909796630859375
29,-0.04309562939248046,-0.07766191634702795,0.9014169250243115
30,-0.04788403320312362,-0.07560439930130711,0.891241568029939
31,-0.04788403320312362,-0.07298574123152725,0.906205328344624
32,-0.057460839843749056,-0.07567921809797719,0.9074024292482521
33,-0.04788403320312362,-0.08626607857210175,0.9050082275390625
34,-0.052672436033105896,-0.110282913980141,0.887051715063374
35,-0.062249242673729555,-0.1051952354339215,0.8924386688355005
36,-0.052672436033105896,-0.0918774887048186,0.8768763580690015
37,-0.04309562939248046,-0.094945059584039,0.8822633117430615
38,-0.033518822751855026,-0.08252513847381719,0.8954314208984375
39,-0.033518822751855026,-0.10833762510981201,0.9217676392091896
40,-0.028730419921874528,-0.084545246121203,0.918774887048186
41,-0.019153613281249093,-0.09726444244752515,0.909198080407561
42,-0.033518822751855026,-0.08462006492767975,0.9050082275390625
43,-0.057460839843749056,-0.08768763580690014,0.9247603912721265
44,-0.06703764648437449,-0.0805050308264314,0.9217676392091896
45,-0.06703764648437449,-0.09105448189241426,0.928351693688811
46,-0.052672436033105896,-0.08252513847381719,0.937928500329436
47,-0.052672436033105896,-0.103399584176546,0.9301473449461864
48,-0.028730419921874528,-0.10938508830242,0.9265560425295021
49,-0.009576806640623658,-0.104521866224664,0.909796630859375
50,-0.028730419921874528,-0.096591073228461,0.9121908325685646
51,-0.03830722656249996,-0.09075520667631391,0.9307458953980006
52,-0.028730419921874528,-0.1245733050855685,0.937928500329436
53,-0.04788403320312362,-0.10137947654877351,0.951695159936626
54,-0.04309562939248046,-0.116567693331922,0.960673416125437
55,-0.028730419921874528,-0.128314245213273,0.9469067566163135
56,-0.06703764648437449,-0.120158995846673,0.9504980591310646
57,-0.052672436033105896,-0.0686462507206553,0.954089361547749
